Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,Max Error
SGDRegressor,0.9999923659836456,0.9999923725420788,0.002859921418218727,0.030478954315185547,0.025877731621090305
KernelRidge,0.9999923637523467,0.9999923703126969,0.002860339341949132,5.311966419219971,0.025852105567698125
Ridge,0.9999923637517719,0.9999923703121226,0.00286033944959327,0.03663945198059082,0.025852107667148516
RidgeCV,0.999992168238364,0.9999921749666816,0.0028967251348781474,0.04701995849609375,0.026031103360511842
BayesianRidge,0.9999921431274509,0.9999921498773414,0.002901365291455806,0.02588057518005371,0.02605098778648518
LinearRegression,0.9999921431236174,0.9999921498735111,0.0029013659992764176,0.008817434310913086,0.02605099078160311
Lars,0.9999921431236174,0.9999921498735111,0.002901365999276301,0.01102590560913086,0.026050990781602223
LassoLarsCV,0.9999921431236174,0.9999921498735111,0.002901365999276301,0.013236284255981445,0.026050990781602223
OrthogonalMatchingPursuitCV,0.9999921431236174,0.9999921498735111,0.0029013659992763066,0.008016586303710938,0.026050990781601335
LassoLarsIC,0.9999921431236174,0.9999921498735111,0.002901365999276301,0.008606195449829102,0.026050990781602223
RANSACRegressor,0.9999921431236174,0.9999921498735111,0.0029013659992764176,0.10093212127685547,0.02605099078160311
TransformedTargetRegressor,0.9999921431236174,0.9999921498735111,0.0029013659992764176,0.015189170837402344,0.02605099078160311
LarsCV,0.9999921431236174,0.9999921498735111,0.002901365999276301,0.014016151428222656,0.026050990781602223
HuberRegressor,0.9999890806072421,0.9999890899881637,0.003420399237078286,0.03928184509277344,0.031153591783190215
LinearSVR,0.9999888225334237,0.9999888321360582,0.003460582818085978,0.29553914070129395,0.030219956646609702
LassoCV,0.9999812019580896,0.9999812181076101,0.004487803820904507,0.06833386421203613,0.0408160578983674
ElasticNetCV,0.999966711427657,0.9999667400260869,0.0059720734734625535,0.06273055076599121,0.06079172049488335
RandomForestRegressor,0.9998775221334293,0.9998776273549641,0.011455297265527733,3.0128064155578613,0.12568715000000008
BaggingRegressor,0.9998759839666276,0.9998760905096116,0.011527004837746952,0.3010134696960449,0.13234239999999886
DecisionTreeRegressor,0.9998543147057575,0.9998544398649449,0.012493537219456162,0.06280899047851562,0.22591099999999953
ExtraTreeRegressor,0.9998493131166947,0.99984944257278,0.012706188162526513,0.017061948776245117,0.14685700000000024
MLPRegressor,0.9997741562372399,0.9997743502610911,0.015555415201633905,0.3302600383758545,0.3067703124759644
GradientBoostingRegressor,0.9997703918362097,0.9997705890940825,0.01568451955293318,0.9810233116149902,0.09605348586669926
ExtraTreesRegressor,0.9996969948969957,0.9996972552106581,0.018017831807125278,1.1819658279418945,0.40872082000000276
OrthogonalMatchingPursuit,0.9996852550856724,0.9996855254850834,0.01836356167658588,0.00834798812866211,0.17080931903437158
PassiveAggressiveRegressor,0.9992049337841307,0.9992056168307079,0.02918631108172037,0.014962911605834961,0.11285474149288133
HistGradientBoostingRegressor,0.9987112855752448,0.9987123927182214,0.03715830559054748,0.31406569480895996,0.6927063321731652
LGBMRegressor,0.9982539675830796,0.9982554676109292,0.043251752435565984,0.11299777030944824,0.6375190849528471
XGBRegressor,0.995280108077621,0.9952841629675887,0.07111211316115984,0.4468424320220947,1.123143036224365
AdaBoostRegressor,0.99358933078246,0.9935948382302414,0.08287608772258188,0.37658166885375977,0.35733571052631774
KNeighborsRegressor,0.9895599588773488,0.9895689279848425,0.10576175817684223,0.023374319076538086,1.2292600000000005
NuSVR,0.9772376128106597,0.9772571681261144,0.15616599062210554,23.656902313232422,3.070144808790518
GaussianProcessRegressor,0.9770529414362441,0.9770726554040824,0.15679819871256842,12.289222955703735,3.576923820561004
SVR,0.9656372354858521,0.965666756761208,0.19187641925616045,0.29819226264953613,3.1389708352438883
TweedieRegressor,0.8353871082198923,0.8355285282300127,0.41996150108968283,0.05134892463684082,3.4338954458401796
ElasticNet,0.5780038223578747,0.5783663620293886,0.6724063650242688,0.006008148193359375,3.3991488050985392
DummyRegressor,-0.0008676067253323705,-7.754829520312256e-06,1.03553760323063,0.006006717681884766,4.679802002099437
LassoLars,-0.0008676067253323705,-7.754829520312256e-06,1.03553760323063,0.009018421173095703,4.679802002099437
Lasso,-0.0008676067253323705,-7.754829520312256e-06,1.03553760323063,0.009911775588989258,4.679802002099437
QuantileRegressor,-0.001028071044392398,-0.00016808129263612415,1.0356206113006272,312.2785687446594,4.696110999999999
